conceptdoi,doi,metadata.title,stats.views,#versions,links.html,links.doi,created,updated
10.5281/zenodo.6408610,10.5281/zenodo.6408611,TAU Spatial Room Impulse Response Database (TAU-SRIR DB),228.0,1,https://zenodo.org/record/6408611,https://doi.org/10.5281/zenodo.6408611,2022-04-04T16:23:26.078334+00:00,2022-04-06T12:05:57.698168+00:00
10.5281/zenodo.6339618,10.5281/zenodo.6339619,Data accompanying article: A planetary boundary for green water,197.0,1,https://zenodo.org/record/6339619,https://doi.org/10.5281/zenodo.6339619,2022-04-20T21:47:54.670059+00:00,2022-04-26T00:02:00.427529+00:00
10.5281/zenodo.6376159,10.5281/zenodo.6376160,Crop classification dataset for testing domain adaptation or distributional shift methods,188.0,1,https://zenodo.org/record/6376160,https://doi.org/10.5281/zenodo.6376160,2022-03-22T21:44:47.732626+00:00,2022-05-13T18:22:28.144519+00:00
10.5281/zenodo.6012309,10.5281/zenodo.6482837,DCASE 2022 Task 5: Few-shot Bioacoustic Event Detection Development Set,178.0,3,https://zenodo.org/record/6482837,https://doi.org/10.5281/zenodo.6482837,2022-04-25T22:30:58.805766+00:00,2022-04-26T13:51:07.542161+00:00
10.5281/zenodo.6460101,10.5281/zenodo.6460102,Kassel State of Fluency - Challenge,175.0,1,https://zenodo.org/record/6460102,https://doi.org/10.5281/zenodo.6460102,2022-05-10T09:02:20.522497+00:00,2022-05-10T13:49:36.455655+00:00
10.5281/zenodo.6385813,10.5281/zenodo.6448277,A Public Ground-Truth Dataset for Handwritten Circuit Diagram Images,167.0,2,https://zenodo.org/record/6448277,https://doi.org/10.5281/zenodo.6448277,2022-04-11T16:34:56.613660+00:00,2022-04-12T01:49:36.693188+00:00
10.5281/zenodo.5996889,10.5281/zenodo.5996890,MOBDrone: a large-scale drone-view dataset for man overboard detection,162.0,1,https://zenodo.org/record/5996890,https://doi.org/10.5281/zenodo.5996890,2022-03-16T16:39:25.953198+00:00,2022-05-05T09:33:11.306189+00:00
10.5281/zenodo.5159210,10.5281/zenodo.6365726,Compendium of specialized metabolite biosynthetic diversity encoded in bacterial genomes,159.0,4,https://zenodo.org/record/6365726,https://doi.org/10.5281/zenodo.6365726,2022-03-21T18:37:38.540862+00:00,2022-04-11T12:13:08.100842+00:00
10.5281/zenodo.6369445,10.5281/zenodo.6369446,SynPhoRest - Synthetic Photorealistic Forest Dataset with Depth Information for Machine Learning Model Training,158.0,1,https://zenodo.org/record/6369446,https://doi.org/10.5281/zenodo.6369446,2022-03-19T16:56:04.030438+00:00,2022-03-20T01:49:32.666227+00:00
10.5281/zenodo.5571550,10.5281/zenodo.5571551,"Substitution mutational signatures in whole-genome-sequenced cancers in the UK population, Mutational Signatures Data",152.0,1,https://zenodo.org/record/5571551,https://doi.org/10.5281/zenodo.5571551,2022-04-21T17:40:20.530354+00:00,2022-05-03T12:06:06.942083+00:00
10.5281/zenodo.6517687,10.5281/zenodo.6517688,harAGE Corpus,148.0,1,https://zenodo.org/record/6517688,https://doi.org/10.5281/zenodo.6517688,2022-05-04T13:58:11.975945+00:00,2022-05-19T08:38:47.915579+00:00
10.5281/zenodo.6514816,10.5281/zenodo.6514817,Advanced Persistent Threats (APTs) campaigns database,148.0,1,https://zenodo.org/record/6514817,https://doi.org/10.5281/zenodo.6514817,2022-05-03T15:32:39.025259+00:00,2022-05-17T11:01:26.745857+00:00
10.5281/zenodo.6536723,10.5281/zenodo.6536724,"Accompanying dataset for: A Multi-scale, Multiomic Atlas of Human Normal and Follicular Lymphoma Lymph Nodes",146.0,1,https://zenodo.org/record/6536724,https://doi.org/10.5281/zenodo.6536724,2022-05-10T23:05:13.108588+00:00,2022-06-06T13:55:33.821968+00:00
10.5281/zenodo.6375465,10.5281/zenodo.6375466,A new remote sensing benchmark dataset for machine learning applications : MultiSenGE,140.0,1,https://zenodo.org/record/6375466,https://doi.org/10.5281/zenodo.6375466,2022-04-07T11:54:34.922632+00:00,2022-05-20T15:21:00.307590+00:00
10.5281/zenodo.1200252,10.5281/zenodo.6338616,OpenAIRE ScholeXplorer Service: Scholix JSON Dump,140.0,5,https://zenodo.org/record/6338616,https://doi.org/10.5281/zenodo.6338616,2022-03-16T10:08:42.881832+00:00,2022-03-17T01:49:41.521473+00:00
10.5281/zenodo.6381898,10.5281/zenodo.6381899,A Twitter Streaming Data Set collected before and after the Onset of the War between Russia and Ukraine in 2022,138.0,1,https://zenodo.org/record/6381899,https://doi.org/10.5281/zenodo.6381899,2022-03-24T12:47:53.302700+00:00,2022-03-26T14:17:34.561179+00:00
10.5281/zenodo.6366895,10.5281/zenodo.6366896,Data for 'Global trends in grassland carrying capacity and relative stocking density of livestock',135.0,1,https://zenodo.org/record/6366896,https://doi.org/10.5281/zenodo.6366896,2022-03-20T17:59:23.755767+00:00,2022-05-16T10:53:26.033321+00:00
10.5281/zenodo.6586455,10.5281/zenodo.6586456,DCASE 2022 Challenge Task 2 Evaluation Dataset,127.0,1,https://zenodo.org/record/6586456,https://doi.org/10.5281/zenodo.6586456,2022-05-27T08:19:39.593716+00:00,2022-06-02T01:15:14.766945+00:00
10.5281/zenodo.6364704,10.5281/zenodo.6364705,Teaser Local Climate Zone maps extracted from the global map of Local Climate Zones.,126.0,1,https://zenodo.org/record/6364705,https://doi.org/10.5281/zenodo.6364705,2022-03-17T09:49:05.352743+00:00,2022-03-22T13:49:09.416091+00:00
10.5281/zenodo.3723939,10.5281/zenodo.6618186,A large-scale COVID-19 Twitter chatter dataset for open scientific research - an international collaboration,125.0,118,https://zenodo.org/record/6618186,https://doi.org/10.5281/zenodo.6618186,2022-06-07T15:11:34.117687+00:00,2022-06-08T01:50:43.471076+00:00
10.5281/zenodo.6524749,10.5281/zenodo.6524750,The OPS-SAT case dataset,124.0,1,https://zenodo.org/record/6524750,https://doi.org/10.5281/zenodo.6524750,2022-05-18T15:25:49.994580+00:00,2022-05-25T06:48:26.118573+00:00
10.5281/zenodo.4559725,10.5281/zenodo.6385204,OpenAIRE Research Graph: Dump of funded products,119.0,4,https://zenodo.org/record/6385204,https://doi.org/10.5281/zenodo.6385204,2022-03-31T07:50:38.888759+00:00,2022-03-31T13:49:30.133431+00:00
10.5281/zenodo.6583421,10.5281/zenodo.6583422,A TripAdvisor Dataset for Dyadic Context Analysis,115.0,1,https://zenodo.org/record/6583422,https://doi.org/10.5281/zenodo.6583422,2022-05-26T10:21:51.486167+00:00,2022-05-31T08:47:16.661403+00:00
10.5281/zenodo.6387879,10.5281/zenodo.6600531,STARSS22: Sony-TAu Realistic Spatial Soundscapes 2022 dataset,115.0,2,https://zenodo.org/record/6600531,https://doi.org/10.5281/zenodo.6600531,2022-05-31T21:07:09.864065+00:00,2022-06-07T08:01:37.655655+00:00
10.5281/zenodo.6399687,10.5281/zenodo.6399688,New dataset obtained from 2D positioning system with distributed control,106.0,1,https://zenodo.org/record/6399688,https://doi.org/10.5281/zenodo.6399688,2022-03-30T21:21:29.386829+00:00,2022-03-31T01:50:08.121634+00:00
10.5281/zenodo.3737101,10.5281/zenodo.6603766,Crowdsourced air traffic data from The OpenSky Network 2020,105.0,27,https://zenodo.org/record/6603766,https://doi.org/10.5281/zenodo.6603766,2022-06-01T16:57:26.228121+00:00,2022-06-02T01:51:22.650417+00:00
10.5281/zenodo.6337660,10.5281/zenodo.6337661,Web Data Commons (October 2021) Property and Datatype Usage Dataset,102.0,1,https://zenodo.org/record/6337661,https://doi.org/10.5281/zenodo.6337661,2022-03-15T16:52:24.271924+00:00,2022-05-10T06:53:14.125665+00:00
10.5281/zenodo.5337441,10.5281/zenodo.6369432,SPARC Connectivity Knowledge base of the Autonomic Nervous System,100.0,2,https://zenodo.org/record/6369432,https://doi.org/10.5281/zenodo.6369432,2022-03-19T04:59:19.327939+00:00,2022-03-21T17:50:22.412732+00:00
10.5281/zenodo.5874764,10.5281/zenodo.5874765,L3Pilot Open Data,99.0,1,https://zenodo.org/record/5874765,https://doi.org/10.5281/zenodo.5874765,2022-03-28T15:09:55.726266+00:00,2022-03-29T01:49:54.651529+00:00
10.5281/zenodo.6386267,10.5281/zenodo.6386268,"Data and code for the manuscript ""From white to green: Snow cover loss and increased vegetation productivity in the European Alps""",99.0,1,https://zenodo.org/record/6386268,https://doi.org/10.5281/zenodo.6386268,2022-03-26T13:28:20.691561+00:00,2022-05-17T14:43:12.291344+00:00
10.5281/zenodo.6300104,10.5281/zenodo.6433667,DWUG ES: Diachronic Word Usage Graphs for Spanish,97.0,5,https://zenodo.org/record/6433667,https://doi.org/10.5281/zenodo.6433667,2022-04-10T15:22:03.312128+00:00,2022-04-11T01:49:13.715052+00:00
10.5281/zenodo.6530186,10.5281/zenodo.6530187,Spatial Scaling Challenge - Additional Data. COST Action CA17134 SENSECO. Working Group 1,95.0,1,https://zenodo.org/record/6530187,https://doi.org/10.5281/zenodo.6530187,2022-05-09T07:40:23.147290+00:00,2022-05-09T13:49:37.238717+00:00
10.5281/zenodo.6451847,10.5281/zenodo.6451848,"National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat 8 data (2020)",94.0,1,https://zenodo.org/record/6451848,https://doi.org/10.5281/zenodo.6451848,2022-04-28T20:55:39.129968+00:00,2022-06-01T11:13:24.573672+00:00
10.5281/zenodo.4904799,10.5281/zenodo.6478589,The HumBug Challenge: ComParE 2022,94.0,2,https://zenodo.org/record/6478589,https://doi.org/10.5281/zenodo.6478589,2022-04-30T23:11:44.630874+00:00,2022-05-10T07:52:26.939026+00:00
10.5281/zenodo.6422233,10.5281/zenodo.6422234,EPIC: Annotated epileptic EEG independent components for artifact minimisation,94.0,1,https://zenodo.org/record/6422234,https://doi.org/10.5281/zenodo.6422234,2022-04-07T22:22:00.041531+00:00,2022-04-08T10:33:55.536068+00:00
10.5281/zenodo.6534690,10.5281/zenodo.6546522,"Open data repository, Knab et al., Prediction of stroke outcome in mice based on non-invasive MRI and behavioral testing",91.0,2,https://zenodo.org/record/6546522,https://doi.org/10.5281/zenodo.6546522,2022-05-13T14:23:41.219868+00:00,2022-05-17T09:03:20.379943+00:00
10.5281/zenodo.6498717,10.5281/zenodo.6498718,MiRLog and dbmiR: prioritization and functional annotation tools to study human microRNA sequence variants,89.0,1,https://zenodo.org/record/6498718,https://doi.org/10.5281/zenodo.6498718,2022-04-28T06:15:29.635033+00:00,2022-05-18T12:05:50.296363+00:00
10.5281/zenodo.6362725,10.5281/zenodo.6362726,Webis Clickbait Spoiling Corpus 2022,88.0,1,https://zenodo.org/record/6362726,https://doi.org/10.5281/zenodo.6362726,2022-03-16T14:26:50.635251+00:00,2022-03-17T01:49:40.446986+00:00
10.5281/zenodo.6587972,10.5281/zenodo.6587973,Neonatal EEG Graded for Severity of Background Abnormalities,87.0,1,https://zenodo.org/record/6587973,https://doi.org/10.5281/zenodo.6587973,2022-05-27T22:09:17.894765+00:00,2022-05-28T01:50:33.200737+00:00
10.5281/zenodo.6476638,10.5281/zenodo.6476639,UTHealth - Fundus and Synthetic OCT-A Dataset (UT-FSOCTA),85.0,1,https://zenodo.org/record/6476639,https://doi.org/10.5281/zenodo.6476639,2022-04-26T16:20:11.265871+00:00,2022-04-27T01:50:27.429073+00:00
10.5281/zenodo.6383735,10.5281/zenodo.6383736,A Pseudonymized Rehydrated Tweets Data Set collected before and after the Onset of the War between Russia and Ukraine in 2022,84.0,1,https://zenodo.org/record/6383736,https://doi.org/10.5281/zenodo.6383736,2022-03-25T08:38:16.784443+00:00,2022-03-26T14:19:16.235014+00:00
10.5281/zenodo.5734100,10.5281/zenodo.6365664,CaptuRING and scanned wood core samples,83.0,3,https://zenodo.org/record/6365664,https://doi.org/10.5281/zenodo.6365664,2022-03-17T16:46:14.402139+00:00,2022-03-19T01:49:27.017065+00:00
10.5281/zenodo.6591202,10.5281/zenodo.6591203,"TAU Urban Acoustic Scenes 2022 Mobile, Evaluation dataset",82.0,1,https://zenodo.org/record/6591203,https://doi.org/10.5281/zenodo.6591203,2022-06-01T19:27:08.360941+00:00,2022-06-02T01:51:22.718052+00:00
10.5281/zenodo.6375539,10.5281/zenodo.6375540,A Survey on Adoption Guidelines for the FAIR4RS Principles: Dataset,82.0,1,https://zenodo.org/record/6375540,https://doi.org/10.5281/zenodo.6375540,2022-03-22T10:23:46.951564+00:00,2022-03-24T01:28:58.317027+00:00
10.5281/zenodo.6410637,10.5281/zenodo.6410638,Data and code from: Geomorphological processes shape plant community traits in the Arctic,74.0,1,https://zenodo.org/record/6410638,https://doi.org/10.5281/zenodo.6410638,2022-04-04T07:10:23.345059+00:00,2022-04-04T13:49:59.811917+00:00
10.5281/zenodo.6368412,10.5281/zenodo.6368413,"Data and models for ""Discovering dynamical models of human behavior""",74.0,1,https://zenodo.org/record/6368413,https://doi.org/10.5281/zenodo.6368413,2022-03-20T14:11:26.464609+00:00,2022-03-21T01:49:18.259860+00:00
10.5281/zenodo.6416057,10.5281/zenodo.6416058,Dataset on ambulance deployment and redeployment,73.0,1,https://zenodo.org/record/6416058,https://doi.org/10.5281/zenodo.6416058,2022-04-05T21:20:31.774756+00:00,2022-04-06T13:50:14.305471+00:00
10.5281/zenodo.6473206,10.5281/zenodo.6473207,Clotho-AQA dataset,73.0,1,https://zenodo.org/record/6473207,https://doi.org/10.5281/zenodo.6473207,2022-04-20T17:15:32.138213+00:00,2022-04-22T12:46:42.098911+00:00
10.5281/zenodo.4056562,10.5281/zenodo.5835260,Twitter Data of the #BlackLivesMatter Movement And Counter Protests: 2013 to 2021,73.0,4,https://zenodo.org/record/5835260,https://doi.org/10.5281/zenodo.5835260,2022-04-01T18:19:23.740401+00:00,2022-04-02T13:50:12.863913+00:00
10.5281/zenodo.6367380,10.5281/zenodo.6367381,Indoor3Dmapping dataset,73.0,1,https://zenodo.org/record/6367381,https://doi.org/10.5281/zenodo.6367381,2022-03-18T10:24:57.376080+00:00,2022-03-20T01:49:32.965350+00:00
10.5281/zenodo.4095493,10.5281/zenodo.6375520,A dataset of measured spatial room impulse responses for the transition between coupled rooms,72.0,4,https://zenodo.org/record/6375520,https://doi.org/10.5281/zenodo.6375520,2022-03-23T15:14:22.878235+00:00,2022-03-24T01:51:09.123025+00:00
10.5281/zenodo.3974604,10.5281/zenodo.6413797,OpenAIRE Research Graph: Dumps for research communities and initiatives,71.0,6,https://zenodo.org/record/6413797,https://doi.org/10.5281/zenodo.6413797,2022-04-08T13:04:50.161839+00:00,2022-05-20T12:13:15.691699+00:00
10.5281/zenodo.6123289,10.5281/zenodo.6123290,"What do we mean by ""data"" in the arts and humanities? Interview transcripts (University of Bologna, FICLIT) and GTM coding",71.0,1,https://zenodo.org/record/6123290,https://doi.org/10.5281/zenodo.6123290,2022-03-15T14:13:28.119801+00:00,2022-03-16T01:49:52.941479+00:00
10.5281/zenodo.6493846,10.5281/zenodo.6493847,PANACEA dataset - Heterogeneous COVID-19 Claims,71.0,1,https://zenodo.org/record/6493847,https://doi.org/10.5281/zenodo.6493847,2022-05-06T13:52:57.184922+00:00,2022-05-12T18:26:47.307616+00:00
10.5281/zenodo.6359687,10.5281/zenodo.6359688,SyntCities_pre,70.0,1,https://zenodo.org/record/6359688,https://doi.org/10.5281/zenodo.6359688,2022-03-15T21:09:00.066474+00:00,2022-05-18T09:14:24.045739+00:00
10.5281/zenodo.6362951,10.5281/zenodo.6367776,Odeuropa Dataset of Smell-Related Objects,70.0,4,https://zenodo.org/record/6367776,https://doi.org/10.5281/zenodo.6367776,2022-03-18T12:07:19.678910+00:00,2022-03-19T01:49:29.369227+00:00
10.5281/zenodo.5897694,10.5281/zenodo.5903334,Paired Sentinel-1 and Sentinel-2 Images for 2 Locations in Scotland and India for 2019 and 2020,69.0,2,https://zenodo.org/record/5903334,https://doi.org/10.5281/zenodo.5903334,2022-03-17T10:55:46.338913+00:00,2022-03-17T13:49:29.407037+00:00
10.5281/zenodo.6286521,10.5281/zenodo.6499594,Minigraph pangenome graphs for HPRC year-1 samples,69.0,2,https://zenodo.org/record/6499594,https://doi.org/10.5281/zenodo.6499594,2022-04-29T14:57:24.753557+00:00,2022-04-30T01:49:21.004633+00:00
10.5281/zenodo.6477945,10.5281/zenodo.6477946,Dataset A Fetal Brain magnetic resonance Acquisition Numerical phantom (FaBiAN),68.0,1,https://zenodo.org/record/6477946,https://doi.org/10.5281/zenodo.6477946,2022-05-31T08:50:02.784337+00:00,2022-06-01T09:40:22.164676+00:00
10.5281/zenodo.4650874,10.5281/zenodo.6478248,CCG Starter Data Kit: Kenya,66.0,7,https://zenodo.org/record/6478248,https://doi.org/10.5281/zenodo.6478248,2022-05-12T10:38:03.855050+00:00,2022-05-12T13:49:49.011323+00:00
10.5281/zenodo.5929616,10.5281/zenodo.6361682,Biociden Excel Tabel,65.0,2,https://zenodo.org/record/6361682,https://doi.org/10.5281/zenodo.6361682,2022-03-16T09:07:02.630431+00:00,2022-03-17T01:49:39.309001+00:00
10.5281/zenodo.6503228,10.5281/zenodo.6516080,Three-dimensional Topside Ionospheric Model and Onboard GNSS Observations from LEO Satellites,63.0,2,https://zenodo.org/record/6516080,https://doi.org/10.5281/zenodo.6516080,2022-05-04T02:22:11.024738+00:00,2022-05-11T05:57:33.971171+00:00
10.5281/zenodo.6394683,10.5281/zenodo.6394684,VWFP: Virtual World Fallen People Dataset for Visual Fallen People Detection,63.0,1,https://zenodo.org/record/6394684,https://doi.org/10.5281/zenodo.6394684,2022-03-29T16:51:36.660373+00:00,2022-04-06T15:13:39.203439+00:00
10.5281/zenodo.6385953,10.5281/zenodo.6385954,PubChem OECD PFAS Larger PFAS Parts file for MetFrag,62.0,1,https://zenodo.org/record/6385954,https://doi.org/10.5281/zenodo.6385954,2022-03-26T06:42:05.490877+00:00,2022-03-28T13:54:45.608058+00:00
10.5281/zenodo.6545570,10.5281/zenodo.6545571,Leaf moisture content (live-fuel moisture content) at global scale from passive microwave satellite observations of vegetation optical depth (VOD2LFMC),62.0,1,https://zenodo.org/record/6545571,https://doi.org/10.5281/zenodo.6545571,2022-05-19T10:50:11.297068+00:00,2022-05-20T01:49:38.364603+00:00
,10.21227/h5e9-m398,Quantum Volume in Practice: What Users Can Expect from NISQ Devices Dataset,62.0,1,https://zenodo.org/record/6360668,https://doi.org/10.21227/h5e9-m398,2022-03-23T00:56:16.439552+00:00,2022-03-24T01:51:10.885462+00:00
10.5281/zenodo.6400077,10.5281/zenodo.6400078,Overlap between Automated Unit and Acceptance Testing -- a Systematic Literature Review (Dataset),62.0,1,https://zenodo.org/record/6400078,https://doi.org/10.5281/zenodo.6400078,2022-03-31T00:31:48.022161+00:00,2022-03-31T06:38:43.925689+00:00
10.5281/zenodo.5467979,10.5281/zenodo.5467980,"Forschungsdaten und Fragebogen zur ""Umfrage zum Bedarf und Nutzung von Organisations-IDs an Hochschulen und außeruniversitären Forschungseinrichtungen in Deutschland""",62.0,1,https://zenodo.org/record/5467980,https://doi.org/10.5281/zenodo.5467980,2022-04-08T06:07:25.482321+00:00,2022-05-25T12:14:14.395880+00:00
10.5281/zenodo.6371679,10.5281/zenodo.6371680,CNN-Filter-DB,61.0,1,https://zenodo.org/record/6371680,https://doi.org/10.5281/zenodo.6371680,2022-03-27T10:28:29.915902+00:00,2022-03-28T23:04:03.486345+00:00
10.5281/zenodo.5221525,10.5281/zenodo.6473050,Predicting cancer prognosis and drug response from the tumor microbiome,61.0,3,https://zenodo.org/record/6473050,https://doi.org/10.5281/zenodo.6473050,2022-04-20T21:00:55.086196+00:00,2022-04-21T01:49:20.110670+00:00
10.5281/zenodo.6342832,10.5281/zenodo.6500946,Tool for the environmental and economic impact assessment of industrial recycling routes for lithium-ion traction batteries,61.0,1,https://zenodo.org/record/6500946,https://doi.org/10.5281/zenodo.6500946,2022-04-28T11:33:20.892062+00:00,2022-04-28T13:49:48.929608+00:00
10.5281/zenodo.6379555,10.5281/zenodo.6411889,Artefact for Kaki: Concurrent Update Synthesis for Regular Policies via Petri Games,60.0,5,https://zenodo.org/record/6411889,https://doi.org/10.5281/zenodo.6411889,2022-04-04T12:24:56.653618+00:00,2022-04-04T13:50:03.261951+00:00
10.5281/zenodo.6523151,10.5281/zenodo.6523152,Dataset: Characterizing Anti-Asian Rhetoric During The COVID-19 Pandemic: A Sentiment Analysis Case Study on Twitter,60.0,1,https://zenodo.org/record/6523152,https://doi.org/10.5281/zenodo.6523152,2022-05-13T19:11:50.116299+00:00,2022-05-14T01:50:15.737091+00:00
10.5281/zenodo.5145655,10.5281/zenodo.6531487,VivesDebate: A New Annotated Multilingual Corpus of Argumentation in a Debate Tournament,59.0,4,https://zenodo.org/record/6531487,https://doi.org/10.5281/zenodo.6531487,2022-05-09T12:08:51.917695+00:00,2022-05-09T13:49:37.413786+00:00
10.5281/zenodo.5517550,10.5281/zenodo.6590886,"Site data archive for ""Harmonized gap-filled dataset from 20 urban flux tower sites"" for the Urban-PLUMBER project",59.0,2,https://zenodo.org/record/6590886,https://doi.org/10.5281/zenodo.6590886,2022-05-29T08:37:18.871653+00:00,2022-06-09T06:33:09.203767+00:00
10.5281/zenodo.5091336,10.5281/zenodo.6463354,Supplementary Materials for 'Mobile device-based Bluetooth Low Energy Database for range estimation in collaborative positioning',58.0,2,https://zenodo.org/record/6463354,https://doi.org/10.5281/zenodo.6463354,2022-04-15T14:51:42.599418+00:00,2022-04-16T13:49:13.324614+00:00
10.5281/zenodo.4386934,10.5281/zenodo.6520269,BIP! DB: A Dataset of Impact Measures for Scientific Publications,57.0,8,https://zenodo.org/record/6520269,https://doi.org/10.5281/zenodo.6520269,2022-05-05T11:57:21.863426+00:00,2022-05-13T12:15:36.678010+00:00
10.5281/zenodo.3732171,10.5281/zenodo.6464926,African Digital Research Repositories: Mapping the Landscape,57.0,2,https://zenodo.org/record/6464926,https://doi.org/10.5281/zenodo.6464926,2022-04-16T15:20:18.725066+00:00,2022-04-17T01:49:30.772588+00:00
10.5281/zenodo.4725470,10.5281/zenodo.6542410,CCG Starter Data Kit: Zambia,55.0,7,https://zenodo.org/record/6542410,https://doi.org/10.5281/zenodo.6542410,2022-05-12T10:52:04.898846+00:00,2022-05-12T13:49:50.404575+00:00
10.5281/zenodo.3710458,10.5281/zenodo.6363348,MICrONS Layer 2/3 Data Tables,54.0,5,https://zenodo.org/record/6363348,https://doi.org/10.5281/zenodo.6363348,2022-03-16T17:54:32.155488+00:00,2022-03-17T01:49:42.306808+00:00
10.5281/zenodo.5797034,10.5281/zenodo.6499208,Simulated exome-sequencing data for a family study of lymphoid cancer,53.0,4,https://zenodo.org/record/6499208,https://doi.org/10.5281/zenodo.6499208,2022-04-29T14:50:05.972660+00:00,2022-04-30T01:49:21.883798+00:00
10.5281/zenodo.5782833,10.5281/zenodo.6337094,"Fostering safe food handling among consumers: Data from an online survey experiment with 1,973 consumers from Norway and the UK",51.0,2,https://zenodo.org/record/6337094,https://doi.org/10.5281/zenodo.6337094,2022-03-18T12:51:07.164977+00:00,2022-03-19T01:49:32.277584+00:00
10.5281/zenodo.5948716,10.5281/zenodo.5948717,FiN: A Smart Grid and Powerline Communication Dataset,51.0,1,https://zenodo.org/record/5948717,https://doi.org/10.5281/zenodo.5948717,2022-04-13T10:21:40.850181+00:00,2022-04-14T07:04:11.981305+00:00
10.5281/zenodo.6524084,10.5281/zenodo.6524085,The results of direct mappings of panama paper to RDF and RDF-star,51.0,1,https://zenodo.org/record/6524085,https://doi.org/10.5281/zenodo.6524085,2022-05-06T12:23:41.180701+00:00,2022-05-07T11:23:51.717907+00:00
10.5281/zenodo.5995885,10.5281/zenodo.6586578,PubChemLite for Exposomics,50.0,11,https://zenodo.org/record/6586578,https://doi.org/10.5281/zenodo.6586578,2022-05-27T08:25:13.005570+00:00,2022-05-27T13:50:31.082947+00:00
10.5281/zenodo.6365889,10.5281/zenodo.6365890,An annotated corpus of clinical trial publications supporting schema-based relational information extraction,50.0,1,https://zenodo.org/record/6365890,https://doi.org/10.5281/zenodo.6365890,2022-03-17T15:51:40.713464+00:00,2022-03-19T01:49:27.049960+00:00
